time,open,high,low,close,volume
1756746000000,4355.22,4358.51,4309.69,4323.16,21776.8039
1756749600000,4323.15,4349.79,4322.69,4346.94,10647.5729
1756753200000,4346.93,4369.25,4342.19,4368.06,14136.9159
1756756800000,4368.05,4368.15,4262.0,4288.99,39920.0083
1756760400000,4288.98,4290.5,4210.61,4261.62,45891.4409
1756764000000,4261.61,4300.0,4252.31,4284.56,23327.6079
1756767600000,4284.56,4319.07,4282.68,4314.5,19077.4186
1756771200000,4314.5,4319.13,4290.98,4303.86,14930.4169
1756774800000,4303.85,4340.93,4292.98,4323.24,18056.4545
1756778400000,4323.23,4363.78,4315.48,4360.95,21796.042
1756782000000,4360.95,4394.97,4353.11,4367.11,25513.1743
1756785600000,4367.11,4388.67,4360.84,4388.09,12553.8667
1756789200000,4388.09,4389.62,4368.98,4385.06,13725.0508
1756792800000,4385.06,4416.78,4381.69,4412.46,17756.0611
1756796400000,4412.46,4414.0,4368.37,4377.53,19930.6092
1756800000000,4377.53,4407.88,4369.24,4392.31,20322.2701
1756803600000,4392.3,4408.0,4386.12,4400.16,13910.283
1756807200000,4400.16,4401.48,4377.67,4391.5,12271.2888
1756810800000,4391.51,4392.52,4340.98,4347.98,15746.839
1756814400000,4347.98,4352.88,4271.31,4277.07,42541.1673
1756818000000,4277.07,4392.91,4274.64,4378.54,54802.0886
1756821600000,4378.53,4397.44,4333.97,4348.51,46636.1465
1756825200000,4348.5,4353.42,4285.0,4295.66,35121.722
1756828800000,4295.65,4311.22,4278.0,4296.26,24460.809
1756832400000,4296.3,4331.57,4288.21,4319.36,14733.8246
1756836000000,4319.35,4322.8,4267.18,4296.73,24140.9878
1756839600000,4296.74,4314.28,4257.85,4274.41,19809.3161
1756843200000,4274.41,4327.93,4266.31,4313.12,18583.3817
1756846800000,4313.12,4335.66,4305.18,4328.69,11645.3512
1756850400000,4328.69,4333.42,4309.11,4329.2,14060.8292
1756854000000,4329.21,4337.4,4314.15,4326.5,11557.0708
1756857600000,4326.49,4332.2,4304.34,4310.26,15037.5649
1756861200000,4310.26,4325.46,4283.23,4325.05,14651.5454
1756864800000,4325.04,4355.37,4312.6,4338.3,19796.7265
1756868400000,4338.31,4343.46,4320.54,4335.02,10485.1331
1756872000000,4335.02,4342.59,4313.0,4339.9,10824.1799
1756875600000,4339.91,4340.75,4313.59,4315.01,8302.2254
1756879200000,4315.01,4320.93,4291.19,4307.92,13841.1706
1756882800000,4307.93,4317.15,4285.71,4310.21,12229.1238
1756886400000,4310.2,4333.24,4307.93,4318.2,11461.577
1756890000000,4318.21,4353.0,4300.01,4351.68,12366.058
1756893600000,4351.69,4377.37,4344.72,4371.72,23158.488
1756897200000,4371.71,4385.88,4366.34,4371.51,23262.0682
1756900800000,4371.51,4379.67,4339.99,4353.96,23733.2723
1756904400000,4353.97,4440.0,4350.9,4419.29,50306.6545
1756908000000,4419.29,4481.22,4415.38,4467.11,50235.0331
1756911600000,4467.11,4486.98,4452.7,4480.03,39085.963
1756915200000,4480.02,4484.74,4455.42,4467.4,55046.9361
1756918800000,4467.4,4490.64,4465.87,4472.23,28623.4628
1756922400000,4472.24,4479.47,4457.92,4469.09,14424.2183
1756926000000,4469.09,4477.99,4458.9,4475.32,14011.8728
1756929600000,4475.32,4479.42,4463.32,4464.5,7113.9618
1756933200000,4464.5,4472.92,4436.6,4460.75,9447.6113
1756936800000,4460.75,4480.79,4459.0,4469.63,9255.9075
1756940400000,4469.63,4472.0,4444.24,4450.46,10390.9318
1756944000000,4450.46,4482.05,4446.0,4467.72,20240.1732
