[INFO] 2026-03-29 20:52:42 | BUY at 2.9755
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.9747
[INFO] 2026-03-29 20:52:42 | BUY at 3.048
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.0498
[INFO] 2026-03-29 20:52:42 | BUY at 3.0388
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.0498
[INFO] 2026-03-29 20:52:42 | BUY at 3.2023
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1825
[INFO] 2026-03-29 20:52:42 | BUY at 3.2125
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.243
[INFO] 2026-03-29 20:52:42 | BUY at 3.3
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2511
[INFO] 2026-03-29 20:52:42 | BUY at 3.166
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.124
[INFO] 2026-03-29 20:52:42 | BUY at 2.91
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.9024
[INFO] 2026-03-29 20:52:42 | BUY at 3.4017
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.4279
[INFO] 2026-03-29 20:52:42 | BUY at 3.2499
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2317
[INFO] 2026-03-29 20:52:42 | BUY at 3.3192
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.31
[INFO] 2026-03-29 20:52:42 | BUY at 3.3032
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.3092
[INFO] 2026-03-29 20:52:42 | BUY at 3.263
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2185
[INFO] 2026-03-29 20:52:42 | BUY at 3.1938
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1813
[INFO] 2026-03-29 20:52:42 | BUY at 3.2499
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.2923
[INFO] 2026-03-29 20:52:42 | BUY at 3.26
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.259
[INFO] 2026-03-29 20:52:42 | BUY at 3.2923
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.31
[INFO] 2026-03-29 20:52:42 | BUY at 3.1707
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.1749
[INFO] 2026-03-29 20:52:42 | BUY at 3.1681
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1429
[INFO] 2026-03-29 20:52:42 | BUY at 3.1489
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.1568
[INFO] 2026-03-29 20:52:42 | BUY at 3.243
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.2533
[INFO] 2026-03-29 20:52:42 | BUY at 3.3294
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.31
[INFO] 2026-03-29 20:52:42 | BUY at 3.2674
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.2781
[INFO] 2026-03-29 20:52:42 | BUY at 3.2594
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2433
[INFO] 2026-03-29 20:52:42 | BUY at 3.2006
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1966
[INFO] 2026-03-29 20:52:42 | BUY at 3.1709
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.1886
[INFO] 2026-03-29 20:52:42 | BUY at 3.198
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1886
[INFO] 2026-03-29 20:52:42 | BUY at 3.1709
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.192
[INFO] 2026-03-29 20:52:42 | BUY at 3.1114
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.1292
[INFO] 2026-03-29 20:52:42 | BUY at 3.1938
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1692
[INFO] 2026-03-29 20:52:42 | BUY at 3.226
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2062
[INFO] 2026-03-29 20:52:42 | BUY at 3.1847
