timestamp,message
2025-10-01T17:26:00.621336+02:00,Сделка разрешена
2025-10-01T17:26:00.624764+02:00,Сделка разрешена
2025-10-01T18:01:24.813136+02:00,Сделка разрешена
2025-10-01T18:01:27.051088+02:00,Сделка разрешена
2025-10-01T18:01:27.636372+02:00,Сделка разрешена
2025-10-01T18:01:27.640505+02:00,Сделка разрешена
2025-10-01T18:03:36.886424+02:00,Сделка разрешена
2025-10-01T18:03:39.135421+02:00,Сделка разрешена
2025-10-01T18:03:39.727824+02:00,Сделка разрешена
2025-10-01T18:03:39.732517+02:00,Сделка разрешена
2025-10-01T18:05:55.457336+02:00,Сделка разрешена
2025-10-01T18:05:57.715605+02:00,Сделка разрешена
2025-10-01T18:05:58.355296+02:00,Сделка разрешена
2025-10-01T18:05:58.360175+02:00,Сделка разрешена
2025-10-01T18:07:32.961706+02:00,Сделка разрешена
2025-10-01T18:07:35.216554+02:00,Сделка разрешена
2025-10-01T18:07:35.857653+02:00,Сделка разрешена
2025-10-01T18:07:35.862285+02:00,Сделка разрешена
2025-10-01T18:09:35.772678+02:00,Сделка разрешена
2025-10-01T18:09:38.327339+02:00,Сделка разрешена
2025-10-01T18:09:39.196889+02:00,Сделка разрешена
2025-10-01T18:09:39.202877+02:00,Сделка разрешена
2025-10-01T18:11:38.914651+02:00,Сделка разрешена
2025-10-01T18:11:41.057308+02:00,Сделка разрешена
2025-10-01T18:11:41.646932+02:00,Сделка разрешена
2025-10-01T18:11:41.652094+02:00,Сделка разрешена
2025-10-01T18:12:46.107731+02:00,Сделка разрешена
2025-10-01T18:12:48.357664+02:00,Сделка разрешена
2025-10-01T18:12:48.398979+02:00,Сделка разрешена
2025-10-01T18:12:48.402425+02:00,Сделка разрешена
2025-10-01T18:12:48.976488+02:00,Сделка разрешена
2025-10-01T18:12:48.982060+02:00,Сделка разрешена
2025-10-01T18:18:25.532199+02:00,Сделка разрешена
2025-10-01T18:18:27.856989+02:00,Сделка разрешена
2025-10-01T18:18:28.420077+02:00,Сделка разрешена
2025-10-01T18:18:28.424304+02:00,Сделка разрешена
2025-10-01T18:20:49.175018+02:00,Сделка разрешена
2025-10-01T18:20:51.485637+02:00,Сделка разрешена
2025-10-01T18:20:52.040839+02:00,Сделка разрешена
2025-10-01T18:20:52.045011+02:00,Сделка разрешена
2025-10-01T18:22:46.905807+02:00,Сделка разрешена
2025-10-01T18:22:49.244351+02:00,Сделка разрешена
2025-10-01T18:22:49.826385+02:00,Сделка разрешена
2025-10-01T18:22:49.830735+02:00,Сделка разрешена
2025-10-01T18:24:22.421848+02:00,Сделка разрешена
2025-10-01T18:24:24.763988+02:00,Сделка разрешена
2025-10-01T18:24:25.334021+02:00,Сделка разрешена
2025-10-01T18:24:25.339463+02:00,Сделка разрешена
