Strategy,profit_pct,max_drawdown,win_rate,avg_profit_per_trade,buy_count,sell_count,avg_trade_duration_h
SMA,20.3,43.57,50.0,0.21,50,48,8.86
RSI,18.28,45.03,55.36,0.33,27,29,14.58
